resource,n_files,total_profiled_or_counted_rows,total_numeric_columns,mean_missing_fraction,identifier_availability_fraction,target_availability_fraction,descriptor_availability_fraction,chemistry_relevant_column_count,row_level_trust_observed_fraction,mean_chemistry_evidence_observability,chemistry_trust_score,ml_readiness_score,trust_readiness_quadrant,recommended_role,chemistry_trust_ci95_low,chemistry_trust_ci95_high,uncertainty_method
MOSAEC-DB,21,937319.0,5750.0,0.021563028083028,1.0,0.0,1.0,34,0.3878199608610567,0.5042921443565315,0.7481563539480057,0.8123157132971068,ML-ready but chemistry-observability-limited,chemistry-ready anchor and validation reference,0.7478292663591958,0.7485206285826739,bootstrap_full_composite_score
CoRE MOF 2024,395,123877.0,2189.0,0.0054478799642942,0.0481012658227848,0.5417721518987342,0.410126582278481,51,0.2387325079133394,0.1705602161239869,0.7128774776055736,0.5656338381353272,limited or context-dependent,experimental computation-ready benchmark with recommended-subset checks,0.71272962213849,0.7130380125835347,bootstrap_full_composite_score
CoRE MOF 2025 metadata,2,13.0,0.0,0.0031421264157837,0.5,0.0,1.0,8736,0.0,0.0,0.6559999999999999,0.4155716101215072,limited or context-dependent,forward-looking curation metadata comparison,0.6559999999999999,0.6559999999999999,deterministic_no_row_level_trust
ARC-MOF,22,10550918.0,1095.0,0.0043772074662375,1.0,0.4545454545454545,0.6818181818181818,1,0.0,0.0,0.213204,0.8254181509093242,ML-ready but chemistry-observability-limited,descriptor-rich adsorption/process ML stress-test resource,0.213204,0.213204,deterministic_no_row_level_trust
QMOF,7,117640.0,48.0,0.0421994369767909,0.8571428571428571,0.4285714285714285,0.1428571428571428,2,0.1731723903434206,0.3832907912821519,0.4960665619477714,0.6058383599616756,limited or context-dependent,quantum-property contrast resource,0.4954334252896132,0.4966493486157471,bootstrap_full_composite_score
CSD-derived context,6,39982.0,41.0,0.0784839903644648,1.0,0.0,0.5,12,0.6326152768395507,0.0,0.4072000000000002,0.6047442076639165,limited or context-dependent,provenance and suspect-chemistry context,0.4072000000000002,0.4072000000000002,bootstrap_full_composite_score
