resource,mean_rank,min_rank,max_rank,mean_combined_score,sd_combined_score
ARC-MOF,5.32,2.0,7.0,0.4927858295826044,0.08886478939696758
CSD-derived context,6.19,6.0,7.0,0.49741315649122253,0.028674156558731363
CoRE MOF 2024,2.0733333333333333,2.0,3.0,0.6456352453632318,0.021372872535095108
CoRE MOF 2025 metadata,4.466666666666667,3.0,7.0,0.5462027843917239,0.03489892907550376
MOSAEC-DB,1.0,1.0,1.0,0.777456217476195,0.009312930692526065
Other/unknown,5.153333333333333,5.0,6.0,0.5027031039449329,0.02657563002766148
QMOF,3.796666666666667,3.0,4.0,0.546196406348975,0.015933718124194196
